count,world_name,world_id,favorites,platforms,thumbnail,world_url,fetch_date
1,5 Minutes｜5分钟｜,wrld_0c553b3f-1121-4f84-8522-c1814a0c619b,12940,"{'pc': True, 'android': False, 'ios': False}",5 Minutes｜5分钟｜_thumbnail.png,https://vrchat.com/home/world/wrld_0c553b3f-1121-4f84-8522-c1814a0c619b,2025-12-15 00:30:36.145170+09:00
1,Endlessness․C,wrld_20cffd63-e60d-485d-a8b7-657aac836af3,2748,"{'pc': True, 'android': False, 'ios': False}",Endlessness․C_thumbnail.png,https://vrchat.com/home/world/wrld_20cffd63-e60d-485d-a8b7-657aac836af3,2025-12-15 00:30:35.074221+09:00
1,くる年の寿ぎ-kotohogi-,wrld_02d197f6-ccd9-4e21-a96d-15e739267f3b,4953,"{'pc': True, 'android': True, 'ios': False}",くる年の寿ぎ-kotohogi-_thumbnail.png,https://vrchat.com/home/world/wrld_02d197f6-ccd9-4e21-a96d-15e739267f3b,2025-12-15 00:30:34.012644+09:00
1,MinaSoco ~水底~,wrld_c03f8195-3c64-46d8-b5ae-242f214c9404,22623,"{'pc': True, 'android': True, 'ios': False}",MinaSoco ~水底~_thumbnail.png,https://vrchat.com/home/world/wrld_c03f8195-3c64-46d8-b5ae-242f214c9404,2025-12-15 00:31:07.179425+09:00
1,Blue Lounge,wrld_2642dc54-20ba-4aac-a0b4-82d636313d7f,668,"{'pc': True, 'android': True, 'ios': False}",Blue Lounge_thumbnail.png,https://vrchat.com/home/world/wrld_2642dc54-20ba-4aac-a0b4-82d636313d7f,2025-12-15 00:31:06.125625+09:00
1,金色世界 ⁄ GOLDEN VIEW OF THE WORLD,wrld_17ad9a08-9cae-4eba-98ed-cda1e23f2568,1045,"{'pc': True, 'android': True, 'ios': False}",金色世界 ⁄ GOLDEN VIEW OF THE WORLD_thumbnail.png,https://vrchat.com/home/world/wrld_17ad9a08-9cae-4eba-98ed-cda1e23f2568,2025-12-15 00:31:04.005390+09:00
1,Poolroom Wonderland,wrld_93bfe69a-c239-4dd2-aa7a-c7a297ef156e,2118,"{'pc': True, 'android': False, 'ios': False}",Poolroom Wonderland_thumbnail.png,https://vrchat.com/home/world/wrld_93bfe69a-c239-4dd2-aa7a-c7a297ef156e,2025-12-15 00:26:24.366467+09:00
1,Locus Albus,wrld_c2dbd36a-7b2b-494f-b45c-fe18e7a73ff9,770,"{'pc': True, 'android': True, 'ios': True}",Locus Albus_thumbnail.png,https://vrchat.com/home/world/wrld_c2dbd36a-7b2b-494f-b45c-fe18e7a73ff9,2025-12-15 00:26:23.299405+09:00
1,La Mer,wrld_f56876fa-a04c-44cd-94ef-00919e4dd822,7898,"{'pc': True, 'android': False, 'ios': False}",La Mer_thumbnail.png,https://vrchat.com/home/world/wrld_f56876fa-a04c-44cd-94ef-00919e4dd822,2025-12-15 00:26:20.142122+09:00
1,切り取る白は、傘模様,wrld_673b81b5-a77c-4185-aeed-b1619fc0d45d,706,"{'pc': True, 'android': True, 'ios': False}",切り取る白は、傘模様_thumbnail.png,https://vrchat.com/home/world/wrld_673b81b5-a77c-4185-aeed-b1619fc0d45d,2025-12-15 00:26:14.771766+09:00
